code,iso,country,region,include,SEA,sids,ldc,lldc,arableague,asean,comwealth,eu27,g20,franco,oecd,oei,oic,opec,emmrkt
728,SSD,South Sudan,Sub-Saharan Africa,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
724,ESP,Spain,Global West,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
144,LKA,Sri Lanka,Southern Asia,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
275,PSE,State of Palestine,Greater Middle East,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
729,SDN,Sudan,Greater Middle East,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
740,SUR,Suriname,Latin America & Caribbean,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
752,SWE,Sweden,Global West,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
756,CHE,Switzerland,Global West,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
760,SYR,Syria,Greater Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,TWN,Taiwan,Asia-Pacific,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
762,TJK,Tajikistan,Former Soviet States,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
834,TZA,Tanzania,Sub-Saharan Africa,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
764,THA,Thailand,Asia-Pacific,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
626,TLS,Timor-Leste,Asia-Pacific,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
768,TGO,Togo,Sub-Saharan Africa,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
776,TON,Tonga,Asia-Pacific,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
780,TTO,Trinidad and Tobago,Latin America & Caribbean,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
788,TUN,Tunisia,Greater Middle East,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
792,TUR,Turkey,Eastern Europe,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
795,TKM,Turkmenistan,Former Soviet States,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
796,TCA,Turks and Caicos Islands,Latin America & Caribbean,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
798,TUV,Tuvalu,Asia-Pacific,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
800,UGA,Uganda,Sub-Saharan Africa,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
804,UKR,Ukraine,Former Soviet States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,ARE,United Arab Emirates,Greater Middle East,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
826,GBR,United Kingdom,Global West,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
840,USA,United States of America,Global West,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
858,URY,Uruguay,Latin America & Caribbean,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
860,UZB,Uzbekistan,Former Soviet States,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
548,VUT,Vanuatu,Asia-Pacific,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
862,VEN,Venezuela,Latin America & Caribbean,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
704,VNM,Viet Nam,Asia-Pacific,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
876,WLF,Wallis and Futuna Islands,Asia-Pacific,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
732,ESH,Western Sahara,Greater Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,YEM,Yemen,Greater Middle East,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
894,ZMB,Zambia,Sub-Saharan Africa,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
716,ZWE,Zimbabwe,Sub-Saharan Africa,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
